Year,Year_2,MANUFACTURER,MODEL,MILLIAGE
2011,2018,Porsche,Cayman,73345
2010,2017,Porsche,Cayman,111538
2012,2019,Chevrolet,Impala,25250
2011,2018,Chevrolet,Impala,38748
2011,2018,Subaru,Forester,129451
2010,2017,Chevrolet,Impala,146469
2011,2018,Buick,Enclave,48028
2010,2017,Buick,Enclave,125022
2011,2018,Suzuki,Grand,93690
2011,2018,Buick,Lacrosse,83003
2010,2017,Buick,Lacrosse,77748
2010,2017,Suzuki,Grand,47733
2011,2018,Honda,Odyssey,64559
2010,2017,GMC,Sierra,121793
2010,2017,Honda,Odyssey,130011
2010,2017,GMC,Savana,98803
2011,2018,Suzuki,Kizashi,93307
2010,2017,Suzuki,Kizashi,80265
2011,2018,Saab,3-Sep,60785
2010,2017,Saab,3-Sep,83560
2011,2018,Suzuki,SX4,100385
2010,2017,Suzuki,SX4,98617
2010,2017,Subaru,Forester,88941
2011,2018,Lexus,ES,33743
2010,2017,Lexus,GS,144578
2012,2019,Subaru,Impreza,145562
2011,2018,Buick,Lucerne,100180
2010,2017,Buick,Lucerne,83871
2011,2018,Buick,Regal,106388
2011,2018,Aston,Martin,65232
2011,2018,Jeep,Grand,84708
2010,2017,Aston,Martin,49098
2010,2017,Subaru,Impreza,58531
2011,2018,Subaru,Impreza,43101
2010,2017,Jeep,Grand,104650
2011,2018,Jeep,Liberty,49189
2011,2018,Land,Rover,108779
2010,2017,Land,Rover,46869
2010,2017,Jeep,Liberty,114052
2012,2019,Land,Rover,33624
2011,2018,Chrysler,200,146127
2010,2017,Ferrari,612,30372
2010,2017,Chrysler,Sebring,56962
2012,2019,Scion,tC,54419
2011,2018,Scion,tC,45621
2010,2017,Scion,tC,78424
2012,2019,MINI,Cooper,83021
2011,2018,MINI,Cooper,111803
2010,2017,MINI,Cooper,22879
2011,2018,Jaguar,XJ,83500
2012,2019,Chevrolet,Malibu,33074
2012,2019,MINI,Clubman,66447
2011,2018,MINI,Clubman,52836
2010,2017,MINI,Clubman,29976
2011,2018,Jaguar,XK,139504
2011,2018,Chrysler,300,129439
2010,2017,Jaguar,XK,86520
2011,2018,Jaguar,XF,132192
2011,2018,Jeep,Patriot,128883
2010,2017,Chrysler,300,64336
2011,2018,Chrysler,Town,93630
2010,2017,Chrysler,Town,29396
2010,2017,Jaguar,XF,146373
2010,2017,Jeep,Patriot,138122
2011,2018,Lotus,Elise,39075
2010,2017,Lotus,Elise,136534
2009,2016,Lotus,Elise,100759
2011,2018,Chevrolet,Malibu,35889
2011,2018,Lotus,Evora,90998
2012,2019,MINI,Countryman,114092
2011,2018,MINI,Countryman,103589
2010,2017,Chevrolet,Malibu,128464
2011,2018,Lotus,Exige,113087
2010,2017,Lotus,Exige,52461
2009,2016,Lotus,Exige,123693
2012,2019,Chevrolet,Sonic,149712
2011,2018,Maserati,GranTurismo,120494
2010,2017,Maserati,GranTurismo,143893
2011,2018,Maserati,Quattroporte,36328
2011,2018,Jeep,Wrangler,118258
2010,2017,Jeep,Wrangler,89752
2010,2017,Maserati,Quattroporte,38633
2011,2018,Honda,Ridgeline,127195
2010,2017,Honda,Ridgeline,40345
2011,2018,Mercury,Grand,110575
2010,2017,Mercury,Grand,136117
2011,2018,Mercury,Mariner,137138
2010,2017,BMW,M6,58684
2010,2017,BMW,X3,68243
2012,2019,Toyota,Camry,45532
2011,2018,BMW,X3,100039
2012,2019,Toyota,FJ,142669
2011,2018,Chevrolet,Suburban,44492
2010,2017,Chevrolet,Suburban,79933
2011,2018,Dodge,Ram,35379
2011,2018,GMC,Sierra,136240
2011,2018,Chevrolet,Tahoe,42165
2010,2017,Chevrolet,Tahoe,100451
2010,2017,BMW,Z4,28911
2012,2019,Chevrolet,Traverse,81191
2011,2018,BMW,Z4,30174
2011,2018,Saab,9-4X,117351
2011,2018,Saab,5-Sep,49120
2010,2017,Saab,5-Sep,75444
2010,2017,Mercury,Mariner,95580
2011,2018,Chevrolet,Traverse,83880
2010,2017,Chevrolet,Traverse,48621
2011,2018,Mercury,Milan,142939
2010,2017,Mercury,Milan,25619
2011,2018,Lexus,GS,137862
2011,2018,Chevrolet,Avalanche,86992
2010,2017,Chevrolet,Avalanche,33142
2011,2018,Subaru,Legacy,45968
2010,2017,Dodge,Ram,38793
2010,2017,Lexus,IS,127747
2011,2018,Lexus,IS,108145
2011,2018,Toyota,Tacoma,109475
2010,2017,Toyota,Tacoma,22069
2012,2019,Scion,xB,57349
2011,2018,Scion,xB,62491
2010,2017,Scion,xB,82426
2011,2018,Scion,xD,64629
2010,2017,Scion,xD,117705
2012,2019,Aston,Martin,143528
2011,2018,Toyota,Tundra,116467
2010,2017,Jaguar,XJ,26712
2010,2017,Subaru,Legacy,56511
2011,2018,Suzuki,Equator,70936
2011,2018,Nissan,Frontier,96241
2011,2018,Subaru,Outback,85657
2010,2017,Suzuki,Equator,68178
2010,2017,Subaru,Outback,28648
2009,2016,Chevrolet,Silverado,97765
2011,2018,Ford,Ranger,50487
2010,2017,Nissan,Frontier,101074
2010,2017,Lexus,LX,137048
2011,2018,Lexus,LX,43982
2010,2017,Ford,Ranger,67787
2012,2019,Ford,E-150,42860
2011,2018,Ford,E-150,45974
2012,2019,Buick,Enclave,23937
2012,2019,Ford,E-350,95049
2011,2018,Ford,E-350,21543
2012,2019,Buick,Lacrosse,134971
2011,2018,Dodge,Dakota,140227
2012,2019,Buick,Regal,70270
2010,2017,Toyota,Tundra,74223
2011,2018,Nissan,Titan,138280
2010,2017,Dodge,Dakota,101275
2012,2019,Ford,E-250,137684
2011,2018,Ford,E-250,24618
2010,2017,Nissan,Titan,83204
2012,2019,Nissan,Titan,115817
2011,2018,Ford,F-150,109317
2010,2017,Ford,F-150,138795
2012,2019,BMW,1,39084
2012,2019,BMW,3,77855
2012,2019,Nissan,370Z,86241
2012,2019,Nissan,JUKE,51116
2012,2019,Hyundai,Veloster,120963
2012,2019,Hyundai,Equus,105623
2012,2019,Hyundai,Santa,57618
2012,2019,Ford,Expedition,36472
2012,2019,Nissan,Xterra,146764
2012,2019,Nissan,Pathfinder,133477
2012,2019,Hyundai,Veracruz,75579
2012,2019,Infiniti,G25,54841
2012,2019,Infiniti,G37,97812
2012,2019,Volvo,C30,70115
2012,2019,Jeep,Compass,31606
2012,2019,Nissan,Armada,38788
2012,2019,Lexus,IS,126804
2012,2019,Lexus,ES,73490
2012,2019,Lexus,LS,82050
2012,2019,Toyota,Sienna,25781
2012,2019,Audi,A8,128693
2012,2019,Audi,TT,94230
2012,2019,Honda,Accord,147102
2012,2019,Lexus,RX,138129
2012,2019,Infiniti,IPL,120553
2012,2019,Lexus,LFA,85442
2012,2019,Infiniti,EX,80707
2012,2019,Infiniti,FX,64773
2012,2019,Infiniti,QX56,47356
2012,2019,Dodge,Durango,63216
2012,2019,Jeep,Grand,47708
2012,2019,Toyota,4Runner,45034
2012,2019,Mazda,Mazda2,25381
2012,2019,Toyota,Sequoia,59626
2012,2019,Mazda,Mazda3,45489
2012,2019,Dodge,Charger,41628
2012,2019,Volkswagen,Tiguan,56073
2012,2019,Dodge,Challenger,63295
2012,2019,Dodge,Avenger,98326
2012,2019,Dodge,Caliber,83862
2012,2019,Volkswagen,Jetta,34875
2012,2019,Volkswagen,CC,70882
2012,2019,Mazda,Mazdaspeed3,113572
2012,2019,Dodge,Grand,61218
2012,2019,Mazda,MX-5,95970
2012,2019,Dodge,Journey,96228
2012,2019,Mazda,CX-9,117789
2012,2019,Kia,Forte,141329
2012,2019,Honda,Civic,142820
2012,2019,Kia,Optima,44626
2012,2019,Kia,Rio,111897
2012,2019,Kia,Soul,27597
2012,2019,Volkswagen,Passat,34543
2012,2019,Volkswagen,Touareg,65910
2012,2019,GMC,Acadia,106374
2012,2019,GMC,Terrain,46893
2012,2019,GMC,Yukon,104613
2012,2019,Volvo,C70,81072
2012,2019,GMC,Savana,64517
2012,2019,Volkswagen,Golf,116882
2012,2019,Cadillac,CTS,62205
2012,2019,Jaguar,XF,41187
2012,2019,Jaguar,XJ,26979
2012,2019,Jaguar,XK,143603
2012,2019,Jeep,Liberty,48897
2012,2019,Cadillac,CTS-V,131615
2012,2019,Volkswagen,Routan,25457
2012,2019,Volkswagen,GTI,112373
2012,2019,Jeep,Patriot,135321
2012,2019,Volkswagen,Beetle,25672
2012,2019,Jeep,Wrangler,141462
2012,2019,Cadillac,SRX,42306
2012,2019,Cadillac,Escalade,116315
2012,2019,BMW,5,115075
2012,2019,Acura,RL,138769
2012,2019,Acura,TSX,36560
2012,2019,Acura,ZDX,32556
2012,2019,Acura,MDX,40362
2012,2019,Subaru,Legacy,106038
2012,2019,Mitsubishi,Galant,44164
2012,2019,Mitsubishi,Outlander,94929
2012,2019,Subaru,Outback,145969
2012,2019,Buick,Verano,121751
2012,2019,Suzuki,Kizashi,92875
2012,2019,Saab,3-Sep,90766
2012,2019,Subaru,Forester,82487
2012,2019,Suzuki,SX4,29365
2012,2019,Lincoln,MKZ,149570
2012,2019,Lincoln,MKS,117836
2012,2019,Lincoln,MKX,43901
2012,2019,Lincoln,MKT,36366
2012,2019,Bentley,Mulsanne,35934
2012,2019,Lincoln,Navigator,147526
2012,2019,Honda,CR-Z,34930
2012,2019,Honda,Fit,142104
2012,2019,Honda,Odyssey,115947
2012,2019,Honda,Pilot,52817
2012,2019,Lamborghini,Gallardo,33525
2012,2019,BMW,7,31534
